timestamp,avg_dynamic_energy,total_energy,n_dynamic,n_workspace
2025-09-10T08:45:26.461988,24.49953269958496,4519725.0,184320,256
2025-09-10T08:45:26.929738,24.444997787475586,4509664.0,184320,256
2025-09-10T08:45:27.395559,24.390331268310547,4499574.0,184320,256
2025-09-10T08:45:27.863800,24.335538864135742,4489461.0,184320,256
2025-09-10T08:45:28.331137,24.280574798583984,4479318.0,184320,256
2025-09-10T08:45:28.810598,24.225481033325195,4469147.0,184320,256
2025-09-10T08:45:29.277871,24.17025375366211,4458959.5,184320,256
2025-09-10T08:45:29.757371,24.115825653076172,4448792.5,184315,256
2025-09-10T08:45:30.232391,24.060380935668945,4438558.5,184315,256
2025-09-10T08:45:30.682515,24.015178680419922,4428919.5,184261,256
2025-09-10T08:45:31.109258,23.959793090820312,4418708.0,184261,256
2025-09-10T08:45:31.532411,23.915918350219727,4409148.0,184200,256
2025-09-10T08:45:31.994192,23.86067008972168,4398980.5,184200,256
2025-09-10T08:45:32.473131,23.814983367919922,4399705.5,184149,256
2025-09-10T08:45:32.885003,23.75979995727539,4389526.0,184149,256
2025-09-10T08:45:33.319003,23.71399688720703,4379892.5,184099,256
2025-09-10T08:45:33.829947,23.658849716186523,4369727.0,184099,256
2025-09-10T08:45:34.288973,23.615480422973633,4360248.5,184036,256
2025-09-10T08:45:34.761609,23.56048583984375,4350108.0,184036,256
2025-09-10T08:45:35.238887,23.516510009765625,4340615.0,183977,256
2025-09-10T08:45:35.648634,23.461645126342773,4330501.5,183977,256
2025-09-10T08:45:36.113490,23.41762924194336,4321032.5,183919,256
2025-09-10T08:45:36.586267,23.362844467163086,4310944.5,183919,256
2025-09-10T08:45:37.029447,23.321304321289062,4301634.5,183848,256
2025-09-10T08:45:37.474739,23.266733169555664,4291589.0,183848,256
2025-09-10T08:45:37.905970,23.226686477661133,4282408.0,183770,256
2025-09-10T08:45:38.331790,23.172372817993164,4272409.0,183770,256
2025-09-10T08:45:38.793200,23.13007354736328,4263119.5,183705,256
2025-09-10T08:45:39.251086,23.075895309448242,4253153.0,183705,256
2025-09-10T08:45:39.677676,23.034854888916016,4243966.0,183634,256
2025-09-10T08:45:40.119603,22.980880737304688,4234041.5,183634,256
2025-09-10T08:45:40.596134,22.941009521484375,4224963.5,183558,256
2025-09-10T08:45:41.056676,22.88726806640625,4215086.0,183558,256
2025-09-10T08:45:41.529315,22.843223571777344,4205776.5,183505,256
2025-09-10T08:45:41.920210,22.789535522460938,4195912.0,183505,256
2025-09-10T08:45:42.325214,22.741865158081055,4186406.75,183472,256
2025-09-10T08:45:42.753159,22.688127517700195,4176528.5,183472,256
2025-09-10T08:45:43.190797,22.64291763305664,4167163.25,183425,256
2025-09-10T08:45:43.649744,22.5892276763916,4149547.25,183425,256
2025-09-10T08:45:44.078537,22.542787551879883,4140111.5,183385,256
2025-09-10T08:45:44.519335,22.489078521728516,4130274.5,183385,256
2025-09-10T08:45:44.994366,22.444067001342773,4120924.75,183337,256
2025-09-10T08:45:45.454253,22.39040756225586,4109997.25,183337,256
2025-09-10T08:45:45.911811,22.34210777282715,4100457.25,183307,256
2025-09-10T08:45:46.391401,22.28837776184082,4090601.0,183307,256
2025-09-10T08:45:46.868625,22.242385864257812,4081199.25,183264,256
2025-09-10T08:45:47.342104,22.188644409179688,4071336.0,183264,256
2025-09-10T08:45:47.813407,22.142406463623047,4061919.75,183222,256
2025-09-10T08:45:48.289437,22.08867835998535,4052063.75,183222,256
2025-09-10T08:45:48.767082,22.04177474975586,4042621.5,183184,256
2025-09-10T08:45:49.237329,21.988040924072266,4032762.0,183184,256
2025-09-10T08:45:49.714467,21.940732955932617,4023293.0,183148,256
2025-09-10T08:45:50.186851,21.88693618774414,4013427.25,183148,256
2025-09-10T08:45:50.656629,21.841510772705078,4004067.25,183101,256
2025-09-10T08:45:51.078659,21.787763595581055,3994221.75,183101,256
2025-09-10T08:45:51.518322,21.741077423095703,3984783.0,183061,256
2025-09-10T08:45:51.992876,21.687326431274414,3974932.25,183061,256
2025-09-10T08:45:52.473572,21.64068031311035,3965516.0,183021,256
2025-09-10T08:45:52.944697,21.586894989013672,3955658.0,183021,256
2025-09-10T08:45:53.417339,21.54032325744629,3946239.5,182980,256
2025-09-10T08:45:53.896215,21.486549377441406,3936386.25,182980,256
